Delta (ms)
1436
1689
814
1375
1320
1574
1110
1380
898
1153
1264
1452
1356
1650
1699
928
1077
1413
969
917
860
1523
854
1260
1566
1409
1456
2425
1756
853
1388
1455
1231
1159
1328
1580
1628
1267
1213
2286
1235
2380
1491
907
862
934
1084
1121
2206
1126
4759
2979
2397
2041
1174
1108
1872
6528
4769
3041
2473
2190
1088
1184
1092
1133
2556
1375
809
857
970
1085
1110
1135
1201
838
886
1242
2007
1133
2202
1277
711
1291
1114
1809
1044
1088
1130
1114
975
847
840
1136
1240
1233
1159
1021
1171
1022
906
1947
1332
1208
1255
1406
703
887
919
983
1236
1181
1148
1789
1019
1475
1032
1469
800
1054
1206
1409
1826
6263
4571
2808
2310
1540
758
1147
1905
1630
2497
2647
1595
706
902
1714
1864
1092
1652
906
1236
1079
994
1073
1452
760
1115
1265
1415
1315
1307
1457
1402
939
1034
829
1800
1089
1588
1227
1275
1036
1065
1214
2076
1105
852
997
1045
1707
1550
883
1707
1492
1845
1085
1532
897
1424
1691
773
1056
1205
1049
1164
1759
1090
1287
1186
1455
769
4402
2710
3077
1365
1268
1776
1515
1563
839
1172
1585
1611
985
1389
1387
1128
1279
1327
2109
1154
1109
1416
1567
1260
1458
789
735
994
1137
1186
2289
1283
1976
935
4374
2607
1523
1980
1208
955
896
1148
1811
904
1235
2466
1491
1538
991
1104
1069
1145
1539
1341
1067
937
1315
892
1759
1200
1087
1187
1983
1614
1433
2277
1939
3028
1318
1558
1107
1376
1423
2036
991
1131
1088
1340
952
1552
986
1327
1494
1022
1175
1255
1672
1515
1367
1405
1555
886
1139
1406
1543
1598
1247
1443
1439
1475
1113
1943
1414
860
1203
1251
